modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.72;0.7216494845360825;0.9859154929577465;0.8333333333333334;7.491398793706997e-06;7.617235524572941e-08;0.22139382362365723;1.0404720546815274e-05;0.00013000073712433357;1.321844238056021e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;2;0.68;0.7159090909090909;0.9;0.7974683544303798;6.157784015314497e-06;6.26121935912728e-08;0.2213149070739746;9.055564728403672e-06;0.00013819503052239042;1.4051636080285355e-06;{'metric': 'euclidean', 'n_neighbors': 7}
KNN;3;0.69;0.6907216494845361;0.9852941176470589;0.8121212121212121;7.573577582168118e-06;7.700794710790376e-08;0.22341704368591309;1.097619939444655e-05;0.00013075567280114623;1.3295204051037765e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;4;0.74;0.7373737373737373;1.0;0.8488372093023255;9.541538158373869e-06;9.70181209416955e-08;0.2329699993133545;1.2893970484289013e-05;0.00017823854805167975;1.8123250910204553e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.72;0.7171717171717171;1.0;0.8352941176470589;1.3163591104111826e-05;1.33847064547442e-07;0.23237347602844238;1.8282765422377538e-05;0.0001458800164893779;1.4833043528020692e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;6;0.58;0.6063829787234043;0.9193548387096774;0.7307692307692307;7.038490119394132e-06;7.156719119244043e-08;0.23883390426635742;1.2135327792058848e-05;0.0001541040486459465;1.5669261057260594e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;7;0.74;0.7628865979381443;0.961038961038961;0.8505747126436781;7.244774549662882e-06;7.36646861111856e-08;0.23807072639465332;9.790235877922813e-06;0.0001279192513326355;1.3006797426753517e-06;{'metric': 'euclidean', 'n_neighbors': 30}
KNN;8;0.7;0.7021276595744681;0.9705882352941176;0.8148148148148148;6.110089917662215e-06;6.212724120126708e-08;0.24005889892578125;8.728699882374595e-06;0.00014373680129256642;1.4615121943767684e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;9;0.73;0.7553191489361702;0.9466666666666667;0.8402366863905325;7.46429356603703e-06;7.58967499698726e-08;0.24401092529296875;1.022505967950278e-05;0.00017082925580234795;1.7369875930608445e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;10;0.65;0.65;1.0;0.7878787878787878;7.1054543328079245e-06;7.224808163671782e-08;0.2537515163421631;1.0931468204319884e-05;0.00014987175651006893;1.523892265323839e-06;{'metric': 'euclidean', 'n_neighbors': 50}
LR;1;0.71;0.71;1.0;0.8304093567251462;6.428150165377317e-06;6.536126983138769e-08;0.2380847930908203;9.053732627291996e-06;6.181351511123265e-05;6.28518272981989e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.7;0.717391304347826;0.9428571428571428;0.8148148148148148;2.9398374641578907e-05;2.98921936811922e-07;0.23154401779174805;4.199767805939844e-05;5.915980196696322e-05;6.015353842168953e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.68;0.6914893617021277;0.9558823529411765;0.8024691358024691;7.160274978942248e-06;7.280549659314117e-08;0.25676679611206055;1.0529816145503305e-05;5.890248819308573e-05;5.9891902421082e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.75;0.7448979591836735;1.0;0.8538011695906432;7.714705333157999e-06;7.844293054416967e-08;0.2730405330657959;1.0286273777543999e-05;8.194453231821564e-05;8.332099515822959e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.71;0.723404255319149;0.9577464788732394;0.8242424242424242;7.66563233583205e-06;7.794395753682892e-08;0.27038002014160156;1.0796665261735283e-05;5.8452318322085015e-05;5.943417082409912e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.61;0.6292134831460674;0.9032258064516129;0.7417218543046358;7.906224693007724e-06;8.039029459681664e-08;0.2823903560638428;1.2961024086897907e-05;6.14874996613445e-05;6.252033560554815e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
