modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.71;0.71875;0.971830985915493;0.8263473053892215;7.502050218408643e-06;7.628065866523612e-08;0.2239830493927002;1.056626791325161e-05;0.00016056834814502153;1.6326549410768043e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;2;0.66;0.7045454545454546;0.8857142857142857;0.7848101265822784;6.681180147511812e-06;6.793407235034582e-08;0.22056198120117188;1.0123000223502745e-05;0.00013491490864529294;1.3718114109620217e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;3;0.66;0.6808510638297872;0.9411764705882353;0.7901234567901234;7.435155214353036e-06;7.56004719399788e-08;0.22477436065673828;1.126538668841369e-05;0.0001630474807438183;1.6578626992294535e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;4;0.74;0.7373737373737373;1.0;0.8488372093023255;7.65346210782457e-06;7.782021096336041e-08;0.2281343936920166;1.0342516361925095e-05;0.00016051271895179016;1.6320893048337552e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.72;0.7216494845360825;0.9859154929577465;0.8333333333333334;7.200618731351836e-06;7.321571085687391e-08;0.2304363250732422;1.0000859349099773e-05;0.00013403685059617556;1.3628833387173664e-06;{'metric': 'euclidean', 'n_neighbors': 30}
KNN;6;0.58;0.6063829787234043;0.9193548387096774;0.7307692307692307;6.668248045758853e-06;6.78025790637212e-08;0.23261404037475586;1.1496979389239403e-05;0.00013827413695087197;1.4059679602114122e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;7;0.77;0.7934782608695652;0.948051948051948;0.863905325443787;6.4827953632477514e-06;6.591690083425948e-08;0.23904180526733398;8.419214757464613e-06;0.0001498808532745011;1.523984760996676e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;8;0.7;0.7065217391304348;0.9558823529411765;0.8125;6.985170334929741e-06;7.102503695987453e-08;0.24631714820861816;9.978814764185346e-06;0.0001596983109875989;1.6238084250579464e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;9;0.74;0.7474747474747475;0.9866666666666667;0.8505747126436781;1.0120171800024832e-05;1.0290165331297872e-07;0.24003839492797852;1.3675907837871395e-05;0.00013496011522101342;1.372271070291347e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;10;0.72;0.7402597402597403;0.8769230769230769;0.8028169014084507;6.380236769997282e-06;6.487408762758045e-08;0.28020763397216797;8.86143995832956e-06;0.00015945438839824652;1.6213282262806211e-06;{'metric': 'manhattan', 'n_neighbors': 7}
LR;1;0.71;0.71;1.0;0.8304093567251462;6.06897050705781e-06;6.170914006444268e-08;0.22013306617736816;8.547845784588465e-06;5.912556960528724e-05;6.011873104210278e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.69;0.7142857142857143;0.9285714285714286;0.8074534161490683;9.726281552447358e-06;9.889658714409402e-08;0.25787949562072754;1.4096060220938201e-05;6.231857130480898e-05;6.336536717046507e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.68;0.6914893617021277;0.9558823529411765;0.8024691358024691;7.488257592455686e-06;7.61404155901054e-08;0.23392653465270996;1.1012143518317186e-05;8.278880363995536e-05;8.417944812294643e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.75;0.7448979591836735;1.0;0.8538011695906432;8.245932856070471e-06;8.384443868782762e-08;0.2800891399383545;1.0994577141427296e-05;6.328868653364758e-05;6.435177790463209e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.72;0.7311827956989247;0.9577464788732394;0.8292682926829268;9.103484680105865e-06;9.256400414961021e-08;0.2482891082763672;1.2643728722369258e-05;5.792144482671481e-05;5.889437998405134e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.61;0.6292134831460674;0.9032258064516129;0.7417218543046358;9.748270324451943e-06;9.912016842693235e-08;0.2636852264404297;1.598077102369171e-05;6.340217471689384e-05;6.446717240502485e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.77;0.78125;0.974025974025974;0.8670520231213873;6.972435840191332e-06;7.089555293642303e-08;0.24776577949523926;9.055111480767963e-06;6.801051549638319e-05;6.915292176392319e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;8;0.69;0.7078651685393258;0.9264705882352942;0.802547770700637;2.527620764564877e-05;2.5700784607362396e-07;0.2786829471588135;3.663218499369387e-05;5.978374563896881e-05;6.078796278416318e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;9;0.76;0.7575757575757576;1.0;0.8620689655172413;3.0539396759675116e-05;3.1052382112168136e-07;0.29220151901245117;4.0183416789046206e-05;6.301809226670057e-05;6.407663833194429e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;10;0.65;0.65;1.0;0.7878787878787878;5.994863962016194e-06;6.095562657111678e-08;0.2873106002807617;9.222867633871068e-06;8.106921764367472e-05;8.243097739016016e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LightGBM;1;0.71;0.723404255319149;0.9577464788732394;0.8242424242424242;5.094158775551579e-05;5.179727880131349e-07;0.24106669425964355;7.17487151486138e-05;0.0040096231889424835;4.076974812850778e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;2;0.68;0.6979166666666666;0.9571428571428572;0.8072289156626506;3.767658810780721e-05;3.830946039350796e-07;0.2450575828552246;5.5406747217363536e-05;0.0038760596845235328;3.9411677761861275e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;3;0.68;0.6956521739130435;0.9411764705882353;0.8;8.596004787576357e-05;8.740396131671571e-07;0.26198410987854004;0.000126411835111417;0.004075941459449065;4.144407064148803e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;4;0.74;0.7422680412371134;0.9863013698630136;0.8470588235294118;5.7648089159406164e-05;5.861643262639419e-07;0.26265740394592285;7.79028231883867e-05;0.004101751462459107;4.170650610545316e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;5;0.69;0.7083333333333334;0.9577464788732394;0.8143712574850299;3.927396854221012e-05;3.993367281714942e-07;0.24833321571350098;5.691879498871032e-05;0.004417760442211631;4.491967749432251e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
