modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.66;0.7032967032967034;0.9014084507042254;0.7901234567901234;7.95967914814466e-06;8.093381815740696e-08;0.2523155212402344;1.2060119921431302e-05;0.0001621386309687938;1.6486215374872272e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;2;0.68;0.7021276595744681;0.9428571428571428;0.8048780487804879;7.549887938145279e-06;7.676707140099726e-08;0.2612795829772949;1.1102776379625409e-05;0.00015981738913365355;1.625019208663659e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;3;0.7;0.6938775510204082;1.0;0.8192771084337349;7.981395467494547e-06;8.115462914847833e-08;0.266904354095459;1.1401993524992211e-05;0.0001348179615793553;1.3708256556244692e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;4;0.75;0.7553191489361702;0.9726027397260274;0.8502994011976048;6.7672509889795945e-06;6.880923850998082e-08;0.26978540420532227;9.023001318639459e-06;0.00017563680638503563;1.7858706469377681e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;5;0.73;0.7291666666666666;0.9859154929577465;0.8383233532934131;7.28919337782266e-06;7.411633564304978e-08;0.2713768482208252;9.985196407976246e-06;0.00015017755298015245;1.527001596170257e-06;{'metric': 'euclidean', 'n_neighbors': 30}
KNN;6;0.51;0.5783132530120482;0.7741935483870968;0.6620689655172414;5.434398263984373e-06;5.525682539537533e-08;0.2759115695953369;1.0655682870557593e-05;0.00013966161560755036;1.42007580843078e-06;{'metric': 'euclidean', 'n_neighbors': 7}
KNN;7;0.75;0.7653061224489796;0.974025974025974;0.8571428571428571;7.741859266022851e-06;7.871903105322783e-08;0.28101062774658203;1.0322479021363801e-05;0.0001476144280255456;1.5009398058480659e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;8;0.7;0.7159090909090909;0.9264705882352942;0.8076923076923077;6.673711182473008e-06;6.78581281009579e-08;0.2913546562194824;9.533873117818583e-06;0.0001700064802951876;1.7286216323177654e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;9;0.73;0.7553191489361702;0.9466666666666667;0.8402366863905325;7.489868791419664e-06;7.615679822080433e-08;0.2883756160736084;1.0260094234821459e-05;0.00015358907645279064;1.5616898813681076e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;10;0.63;0.6627906976744186;0.8769230769230769;0.7549668874172185;5.932331126886141e-06;6.03197942702052e-08;0.28879714012145996;9.416398614104985e-06;0.00014105242568294323;1.4342175304321717e-06;{'metric': 'euclidean', 'n_neighbors': 7}
LR;1;0.71;0.71;1.0;0.8304093567251462;5.944202103112122e-06;6.044049805905684e-08;0.24939298629760742;8.372115638186088e-06;7.163444242134798e-05;7.283772158188064e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.69;0.7142857142857143;0.9285714285714286;0.8074534161490683;7.484616156129314e-06;7.6103389556771e-08;0.26143717765808105;1.084726979149176e-05;6.766077806807671e-05;6.879730962304949e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.69;0.7078651685393258;0.9264705882352942;0.802547770700637;1.0035672610070553e-05;1.0204246766655705e-07;0.2944345474243164;1.4544453058073268e-05;6.723774921179736e-05;6.83671749418365e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.74;0.7526881720430108;0.958904109589041;0.8433734939759037;1.2214087489785941e-05;1.2419253558573576e-07;0.3048250675201416;1.6505523634845867e-05;6.327836488397892e-05;6.434128287710876e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.7;0.7252747252747253;0.9295774647887324;0.8148148148148148;7.73944103881792e-06;7.869444257959409e-08;0.28217411041259766;1.1056344341168459e-05;7.09009061971462e-05;7.209186378690589e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.59;0.6179775280898876;0.8870967741935484;0.7284768211920529;9.407979010254682e-06;9.566009486979585e-08;0.3095221519470215;1.5945727136024885e-05;7.022099803318244e-05;7.140053486922199e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.73;0.7906976744186046;0.8831168831168831;0.8343558282208589;7.236856450729915e-06;7.358417507961438e-08;0.2869884967803955;9.913501987301253e-06;8.612689947009344e-05;8.757361559980217e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;8;0.7;0.7159090909090909;0.9264705882352942;0.8076923076923077;1.2450326875895803e-05;1.2659461174498517e-07;0.318239688873291;1.778618125127972e-05;7.10078584847899e-05;7.22006126050249e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;9;0.76;0.7575757575757576;1.0;0.8620689655172413;6.4166631126083475e-06;6.524446976662817e-08;0.32077789306640625;8.442977779747825e-06;7.247898502348172e-05;7.369645038382246e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;10;0.67;0.6666666666666666;0.9846153846153847;0.7950310559006211;5.181663569660149e-06;5.268702535547392e-08;0.28786134719848633;7.733826223373356e-06;6.767077134004818e-05;6.880747075695304e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LightGBM;1;0.71;0.7282608695652174;0.9436619718309859;0.8220858895705522;4.972295144399396e-05;5.055817245291613e-07;0.27649879455566406;7.003232597745629e-05;0.004130035415555936;4.199409663191865e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;2;0.71;0.7252747252747253;0.9428571428571428;0.8198757763975155;0.0001493646264186647;1.5187357792600226e-06;0.3401603698730469;0.00021037271326572492;0.0044893677457984735;4.5647778763152006e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 31}
LightGBM;3;0.69;0.6989247311827957;0.9558823529411765;0.8074534161490683;6.979932325922592e-05;7.097177701552234e-07;0.2949082851409912;0.00010115843950612452;0.004802819192733578;4.883494522240999e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;4;0.76;0.7578947368421053;0.9863013698630136;0.8571428571428571;6.128841665735489e-05;6.231790850587189e-07;0.3110628128051758;8.064265349651958e-05;0.00401043455306799;4.07779980586081e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;5;0.65;0.7368421052631579;0.7887323943661971;0.7619047619047619;0.0002497325600604726;2.5392744139227295e-06;0.3856010437011719;0.00038420393855457326;0.004851265665067254;4.9327547739326217e-05;{'learning_rate': 0.01, 'n_estimators': 500, 'num_leaves': 15}
LightGBM;6;0.61;0.6210526315789474;0.9516129032258065;0.7515923566878981;8.5876712790715e-05;8.731922641102513e-07;0.3066847324371338;0.00014078149637822133;0.004854863705099291;4.9364132520227055e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;7;0.71;0.8076923076923077;0.8181818181818182;0.8129032258064516;9.919677449395884e-05;1.0086303177894704e-06;0.3260941505432129;0.00013971376689289977;0.004615389628009187;4.6929166104132135e-05;{'learning_rate': 0.05, 'n_estimators': 100, 'num_leaves': 31}
