modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.67;0.7209302325581395;0.8732394366197183;0.7898089171974523;6.228606528908939e-06;6.33323151351216e-08;0.21953535079956055;9.296427655087968e-06;0.0001299571098854546;1.3214006373841316e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;2;0.71;0.711340206185567;0.9857142857142858;0.8263473053892215;6.871715251852884e-06;6.987142851764025e-08;0.22292375564575195;9.678472185708288e-06;0.0001315967049683533;1.3380719991088104e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;3;0.65;0.6736842105263158;0.9411764705882353;0.7852760736196319;9.280219501707959e-06;9.436103938776548e-08;0.22401165962219238;1.4277260771858397e-05;0.00013629184849814786;1.3858121008881509e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;4;0.74;0.7373737373737373;1.0;0.8488372093023255;7.447804152176127e-06;7.57290860228589e-08;0.23162531852722168;1.0064600205643415e-05;0.0001551897722880299;1.5779657165171626e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.71;0.71;1.0;0.8304093567251462;7.202061786943383e-06;7.323038380997461e-08;0.23311781883239746;1.0143748995694906e-05;0.00014621774775057202;1.486738395804409e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;6;0.65;0.6451612903225806;0.967741935483871;0.7741935483870968;6.712748123100372e-06;6.825505473522972e-08;0.23795247077941895;1.0327304804769802e-05;0.00013447304187312476;1.3673185206930975e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;7;0.76;0.7731958762886598;0.974025974025974;0.8620689655172413;7.1829167225747014e-06;7.30357172751322e-08;0.24751043319702148;9.451206213914081e-06;0.00014424057681180306;1.46663457123483e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;8;0.7;0.7021276595744681;0.9705882352941176;0.8148148148148148;7.696495205099904e-06;7.82577704183095e-08;0.2501370906829834;1.099499315014272e-05;0.00013367472317258052;1.3592012361469527e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;9;0.73;0.7553191489361702;0.9466666666666667;0.8402366863905325;7.2899367542335e-06;7.412389427577074e-08;0.2514379024505615;9.986214731826713e-06;0.00015347835376595763;1.5605640558624234e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;10;0.65;0.65;1.0;0.7878787878787878;6.6997787533706965e-06;6.812318250875154e-08;0.24795079231262207;1.0307351928262609e-05;0.00012236719242062388;1.2442265467586923e-06;{'metric': 'euclidean', 'n_neighbors': 50}
LR;1;0.71;0.71;1.0;0.8304093567251462;6.260466737111263e-06;6.365626893390067e-08;0.2538771629333496;8.817558784663752e-06;6.352610162459844e-05;6.459318097429377e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.68;0.7065217391304348;0.9285714285714286;0.8024691358024691;9.710044890406901e-06;9.87314931712582e-08;0.2562992572784424;1.4279477780010147e-05;6.0333628089704805e-05;6.134708188240208e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.68;0.6914893617021277;0.9558823529411765;0.8024691358024691;7.308611501792081e-06;7.43137786410713e-08;0.2376234531402588;1.0747958090870705e-05;5.9163228394883493e-05;6.015702240501433e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.75;0.75;0.9863013698630136;0.8520710059171598;9.093778665129094e-06;9.246531363249983e-08;0.2625091075897217;1.2125038220172126e-05;6.22969558284739e-05;6.334338860828274e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.7;0.7157894736842105;0.9577464788732394;0.8192771084337349;7.854861113174437e-06;7.986803100392927e-08;0.2639644145965576;1.1221230161677769e-05;5.80373119717029e-05;5.901219340678295e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.62;0.6333333333333333;0.9193548387096774;0.75;6.62331150681448e-06;6.734566546156993e-08;0.26410484313964844;1.0682760494862065e-05;5.919596803661525e-05;6.019031199070163e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.73;0.7717391304347826;0.922077922077922;0.8402366863905325;4.620994871965846e-06;4.698616008425027e-08;0.24609661102294922;6.33012996159705e-06;6.0113890023802276e-05;6.112365276752173e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LR;8;0.68;0.68;1.0;0.8095238095238095;6.183183798631859e-06;6.287045795168034e-08;0.2551758289337158;9.092917350929203e-06;5.906770359247506e-05;6.005989302525223e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;9;0.76;0.7575757575757576;1.0;0.8620689655172413;6.124593182829884e-06;6.227471003812873e-08;0.2560431957244873;8.058675240565637e-06;7.543304780765067e-05;7.670013402168897e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;10;0.65;0.65;1.0;0.7878787878787878;8.372787826506066e-06;8.513429684900624e-08;0.25690460205078125;1.2881212040778562e-05;5.8973243736148485e-05;5.996384647999805e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LightGBM;1;0.71;0.723404255319149;0.9577464788732394;0.8242424242424242;5.66793952267328e-05;5.763146706260707e-07;0.24724674224853516;7.983013412215888e-05;0.0041615609389373314;4.231464736382368e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;2;0.68;0.7317073170731707;0.8571428571428571;0.7894736842105263;6.711863930096489e-05;6.82460642829187e-07;0.2631092071533203;9.870388132494836e-05;0.0037129189679866352;3.7752867043423705e-05;{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;3;0.68;0.6956521739130435;0.9411764705882353;0.8;8.425039225365333e-05;8.566558776350646e-07;0.27261877059936523;0.00012389763566713724;0.0043460434899761785;4.4190461320781084e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;4;0.74;0.7422680412371134;0.9863013698630136;0.8470588235294118;6.754320564164812e-05;6.867776227442156e-07;0.26662731170654297;9.12746022184434e-05;0.004025935805050307;4.093561440039764e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;5;0.63;0.6976744186046512;0.8450704225352113;0.7643312101910829;7.747749955061754e-05;7.877892743179071e-07;0.2784595489501953;0.00012298015801685323;0.0047378866074006465;4.817471232155861e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;6;0.63;0.631578947368421;0.967741935483871;0.7643312101910829;7.884499973531835e-05;8.016939819347455e-07;0.2817203998565674;0.00012515079323066405;0.003970736561527689;4.0374349875215446e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
