modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.69;0.717391304347826;0.9295774647887324;0.8098159509202454;7.5501827938978506e-06;7.677006948690212e-08;0.25208568572998047;1.0942293904199785e-05;0.00015200570374801384;1.545590187375583e-06;{'metric': 'euclidean', 'n_neighbors': 30}
KNN;2;0.71;0.7070707070707071;1.0;0.8284023668639053;7.585829477000257e-06;7.713252406759932e-08;0.25595712661743164;1.0684266869014447e-05;0.00015060730938072284;1.5313713484841872e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;3;0.66;0.673469387755102;0.9705882352941176;0.7951807228915663;7.094469586200913e-06;7.213638900842836e-08;0.2723870277404785;1.0749196342728656e-05;0.00013768670937213488;1.3999950113081594e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;4;0.74;0.7373737373737373;1.0;0.8488372093023255;7.86349284688427e-06;7.995579825603233e-08;0.2702145576477051;1.0626341684978742e-05;0.00013632616415365097;1.3861610216135658e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.74;0.7528089887640449;0.9436619718309859;0.8375;1.0853938557430138e-05;1.1036257531856405e-07;0.27208423614501953;1.4667484537067755e-05;0.00017461582723333314;1.775489356502757e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;6;0.58;0.6086956521739131;0.9032258064516129;0.7272727272727273;6.4640324642473305e-06;6.572612014730681e-08;0.28450608253479004;1.1144883559047123e-05;0.00013616818090540347;1.3845546519034803e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;7;0.74;0.7802197802197802;0.922077922077922;0.8452380952380952;6.984365161427431e-06;7.101684997587578e-08;0.27844858169555664;9.438331299226258e-06;0.00013546117929545053;1.3773658772466193e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;8;0.67;0.7058823529411765;0.8823529411764706;0.7843137254901961;6.482237108078551e-06;6.591122450968551e-08;0.28409242630004883;9.674980758326195e-06;0.00016675804695939322;1.6955916435453003e-06;{'metric': 'euclidean', 'n_neighbors': 7}
KNN;9;0.75;0.7551020408163265;0.9866666666666667;0.8554913294797688;7.848948037746165e-06;7.980790700112015e-08;0.28824496269226074;1.046526405032822e-05;0.00016082543806987212;1.635269024991582e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;10;0.67;0.6632653061224489;1.0;0.7975460122699386;7.923886935586168e-06;8.056988383684638e-08;0.2920820713043213;1.1826696918785326e-05;0.00014161941252326026;1.4399826384192892e-06;{'metric': 'manhattan', 'n_neighbors': 50}
LR;1;0.71;0.71;1.0;0.8304093567251462;5.776637273680772e-06;5.873670307154972e-08;0.24984049797058105;8.136108836170102e-06;6.665909303451881e-05;6.77787987905385e-07;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.68;0.7111111111111111;0.9142857142857143;0.8;9.2904343327245e-06;9.446490353362042e-08;0.2624194622039795;1.3662403430477205e-05;6.905207635795914e-05;7.021197823845847e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.67;0.6842105263157895;0.9558823529411765;0.7975460122699386;5.484577912066914e-06;5.576705079988321e-08;0.26750826835632324;8.185937182189423e-06;6.999740542760504e-05;7.117318646805735e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LR;4;0.73;0.7446808510638298;0.958904109589041;0.8383233532934131;1.0085627195856333e-05;1.0255040464327014e-07;0.3033945560455322;1.3815927665556621e-05;7.19743757704465e-05;7.318336495957873e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.73;0.7391304347826086;0.9577464788732394;0.8343558282208589;7.588383888598349e-06;7.715849726073075e-08;0.2995152473449707;1.0395046422737465e-05;9.333340834619686e-05;9.490117576991586e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.62;0.6333333333333333;0.9193548387096774;0.75;7.755692094688411e-06;7.885968290853308e-08;0.30318713188171387;1.2509180797884534e-05;7.295566199197039e-05;7.41811343311205e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.73;0.7777777777777778;0.9090909090909091;0.8383233532934131;5.4507126452281655e-06;5.542270961512349e-08;0.27603864669799805;7.466729650997487e-06;8.056751845592624e-05;8.192085091300914e-07;{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}
LR;8;0.73;0.7303370786516854;0.9558823529411765;0.8280254777070064;7.777697638447977e-06;7.908343472615586e-08;0.320720911026001;1.0654380326641066e-05;9.304405299663062e-05;9.460695997542463e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;9;0.76;0.7575757575757576;1.0;0.8620689655172413;1.0536862923040866e-05;1.0713855821207208e-07;0.3243906497955322;1.3864293319790612e-05;7.128772616210477e-05;7.248518135814126e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;10;0.67;0.6632653061224489;1.0;0.7975460122699386;3.5399365622483882e-06;3.5993986275759424e-08;0.2962310314178467;5.283487406340878e-06;7.29836989545837e-05;7.42096422444622e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}
LightGBM;1;0.71;0.723404255319149;0.9577464788732394;0.8242424242424242;4.2807194829093036e-05;4.3526248453545607e-07;0.2726871967315674;6.029182370294794e-05;0.0042148173022864876;4.285615673207882e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;2;0.72;0.75;0.9;0.8181818181818182;6.89078880738657e-05;7.006536795244001e-07;0.29595160484313965;9.570540010259126e-05;0.0038543096946203584;3.919052440944766e-05;{'learning_rate': 0.1, 'n_estimators': 100, 'num_leaves': 63}
LightGBM;3;0.66;0.6770833333333334;0.9558823529411765;0.7926829268292683;4.4104660968324496e-05;4.484550877325873e-07;0.29023027420043945;6.682524389140075e-05;0.00413269729003894;4.202116250497153e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;4;0.74;0.7422680412371134;0.9863013698630136;0.8470588235294118;0.0001592166998168369;1.6189114147398714e-06;0.38559889793395996;0.00021515770245518498;0.004179544682087973;4.249750561361668e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;5;0.69;0.7564102564102564;0.8309859154929577;0.7919463087248322;0.00016965396697958258;1.7250372857565237e-06;0.3515746593475342;0.0002458753144631632;0.004213896310914169;4.2846792114879503e-05;{'learning_rate': 0.05, 'n_estimators': 500, 'num_leaves': 15}
LightGBM;6;0.63;0.6262626262626263;1.0;0.7701863354037267;4.233694565906986e-05;4.304810027562315e-07;0.30389928817749023;6.720150104614263e-05;0.004675084433224643;4.7536141387975784e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;7;0.75;0.7708333333333334;0.961038961038961;0.8554913294797688;4.378715422366112e-05;4.452266871076292e-07;0.3086540699005127;5.8382872298214825e-05;0.004022807984132622;4.0903810795670706e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
