modelo;fold;acc;prec;rec;f1;emissions_g;energia_kwh;tempo_s;rga;emissions_grid_total_g;energia_grid_total_kwh;params
KNN;1;0.72;0.7263157894736842;0.971830985915493;0.8313253012048193;6.68989191170699e-06;6.802265335041881e-08;0.11077570915222168;9.291516544037486e-06;0.00017064517797146708;1.7351158942883135e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;2;0.66;0.7045454545454546;0.8857142857142857;0.7848101265822784;7.205721801169642e-06;7.326759874292962e-08;0.11354351043701172;1.0917760304802488e-05;0.00015685537734476377;1.5949015470041462e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;3;0.67;0.6767676767676768;0.9852941176470589;0.8023952095808383;8.079829553885059e-06;8.215550447274024e-08;0.11900949478149414;1.2059447095350833e-05;0.00014048715713625812;1.4284698940116537e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;4;0.72;0.7272727272727273;0.9863013698630136;0.8372093023255814;7.97621120009765e-06;8.110191564747274e-08;0.12282013893127441;1.1078071111246736e-05;0.00015384471844374434;1.5642892427272984e-06;{'metric': 'euclidean', 'n_neighbors': 50}
KNN;5;0.72;0.7362637362637363;0.9436619718309859;0.8271604938271605;7.3952483014071574e-06;7.519469944896853e-08;0.1265268325805664;1.027117819639883e-05;0.0001427275273773505;1.4512499224930907e-06;{'metric': 'manhattan', 'n_neighbors': 15}
KNN;6;0.62;0.6363636363636364;0.9032258064516129;0.7466666666666667;6.7282588500612465e-06;6.841276741836383e-08;0.13352394104003906;1.0852030403324591e-05;0.00014411741406289338;1.4653822554896224e-06;{'metric': 'euclidean', 'n_neighbors': 7}
KNN;7;0.76;0.7676767676767676;0.987012987012987;0.8636363636363636;8.170004333689474e-06;8.307239937456252e-08;0.13734674453735352;1.0750005702222993e-05;0.00014288991048956958;1.4529010299098058e-06;{'metric': 'manhattan', 'n_neighbors': 50}
KNN;8;0.69;0.7032967032967034;0.9411764705882353;0.8050314465408805;7.003760473250025e-06;7.12140610205599e-08;0.1382124423980713;1.0150377497463806e-05;0.00014696965240252244;1.494383743467304e-06;{'metric': 'euclidean', 'n_neighbors': 15}
KNN;9;0.73;0.75;0.96;0.8421052631578947;6.126768603778978e-06;6.229682966383635e-08;0.14079642295837402;8.39283370380682e-06;0.00018811695573067735;1.912768492807961e-06;{'metric': 'manhattan', 'n_neighbors': 30}
KNN;10;0.67;0.6666666666666666;0.9846153846153847;0.7950310559006211;8.997678353762543e-06;9.14881680742114e-08;0.14591360092163086;1.3429370677257526e-05;0.00015110386585156921;1.5364203222390819e-06;{'metric': 'euclidean', 'n_neighbors': 50}
LR;1;0.71;0.71;1.0;0.8304093567251462;6.147704329272822e-06;6.250970359613639e-08;0.13889718055725098;8.658738491933552e-06;0.0001299778801339673;1.3216118287506335e-06;{'C': 0.01, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;2;0.68;0.7111111111111111;0.9142857142857143;0.8;9.938943963278533e-06;1.0105893320940468e-07;0.1453847885131836;1.46160940636449e-05;6.345949365632848e-05;6.452545415903574e-07;{'C': 100, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;3;0.68;0.6914893617021277;0.9558823529411765;0.8024691358024691;1.000090175339037e-05;1.0168891846697818e-07;0.1486496925354004;1.4707208460868191e-05;5.967682986559592e-05;6.067925109366324e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;4;0.75;0.7448979591836735;1.0;0.8538011695906432;6.850315511884646e-06;6.965383649778994e-08;0.15140652656555176;9.133754015846194e-06;6.080034704937016e-05;6.182164055127725e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;5;0.73;0.7391304347826086;0.9577464788732394;0.8343558282208589;7.435840805624212e-06;7.560744301484739e-08;0.13290929794311523;1.0186083295375633e-05;6.26744652995655e-05;6.372723929268058e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;6;0.64;0.6444444444444445;0.9354838709677419;0.7631578947368421;8.747786717686965e-06;8.894727617935256e-08;0.1392536163330078;1.3668416746385883e-05;6.0869301102151834e-05;6.189175285938894e-07;{'C': 10, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;7;0.72;0.7752808988764045;0.8961038961038961;0.8313253012048193;9.156107206000357e-06;9.30990686745064e-08;0.16084814071655273;1.2716815563889385e-05;5.9984666802844115e-05;6.099225892020591e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;8;0.73;0.7303370786516854;0.9558823529411765;0.8280254777070064;7.028168724944197e-06;7.146224351226458e-08;0.16668939590454102;9.627628390334518e-06;6.313524365402519e-05;6.419575756906617e-07;{'C': 1, 'penalty': 'l2', 'solver': 'lbfgs'}
LR;9;0.75;0.75;1.0;0.8571428571428571;5.021107758981311e-06;5.105449789503915e-08;0.14126849174499512;6.6948103453084144e-06;6.261066243124794e-05;6.366236469602629e-07;{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}
LR;10;0.67;0.6702127659574468;0.9692307692307692;0.7924528301886793;5.393574635606725e-06;5.484173176482211e-08;0.1458876132965088;8.050111396427948e-06;8.884048128685264e-05;9.033277879250481e-07;{'C': 1, 'penalty': 'l2', 'solver': 'liblinear'}
LightGBM;1;0.7;0.7157894736842105;0.9577464788732394;0.8192771084337349;4.039599975294874e-05;4.1074551341103774e-07;0.12875771522521973;5.770857107564106e-05;0.004973428709010366;5.056969850948028e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;2;0.7;0.7127659574468085;0.9571428571428572;0.8170731707317073;7.052869720519513e-05;7.171340261641836e-07;0.15346360206604004;0.00010075528172170734;0.003814003279676873;3.878068979213479e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;3;0.69;0.7078651685393258;0.9264705882352942;0.802547770700637;7.292331826929915e-05;7.414824731494198e-07;0.15768003463745117;0.00010568596850623066;0.0040637118563493025;4.131972034356878e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;4;0.75;0.7448979591836735;1.0;0.8538011695906432;4.0303765706392237e-05;4.0980767993647284e-07;0.1379554271697998;5.373835427518965e-05;0.003984920908211064;4.0518575956918945e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;5;0.71;0.7333333333333333;0.9295774647887324;0.8198757763975155;7.306485040052153e-05;7.429215683137585e-07;0.16704249382019043;0.00010290824000073456;0.0037857748837286593;3.849366416936449e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;6;0.65;0.6421052631578947;0.9838709677419355;0.7770700636942676;7.029688537470532e-05;7.147769692795514e-07;0.16956257820129395;0.00010814905442262356;0.004472440458297519;4.547566252793671e-05;{'learning_rate': 0.01, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;7;0.75;0.782608695652174;0.935064935064935;0.8520710059171598;4.1515054329939254e-05;4.221240323132067e-07;0.15719127655029297;5.535340577325234e-05;0.0038250557448757916;3.889307098137015e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 15}
LightGBM;8;0.7;0.7021276595744681;0.9705882352941176;0.8148148148148148;6.055140138797906e-05;6.156851322648051e-07;0.1740121841430664;8.650200198282723e-05;0.0039016054793657544;3.967142676379544e-05;{'learning_rate': 0.01, 'n_estimators': 100, 'num_leaves': 31}
LightGBM;9;0.83;0.8625;0.92;0.8903225806451613;8.301667882926165e-05;8.441115104451706e-07;0.18675827980041504;0.00010002009497501404;0.004141915355177111;4.211489156034806e-05;{'learning_rate': 0.05, 'n_estimators': 200, 'num_leaves': 15}
LightGBM;10;0.65;0.7205882352941176;0.7538461538461538;0.7368421052631579;0.00047075257715170686;4.786600410295144e-06;0.3671424388885498;0.000724234734079549;0.004004719311044241;4.071988562089967e-05;{'learning_rate': 0.1, 'n_estimators': 500, 'num_leaves': 63}
MLP;1;0.73;0.7558139534883721;0.9154929577464789;0.8280254777070064;0.00043471548149703854;4.420176124547917e-06;0.3688805103302002;0.0005955006595849843;0.004541481885142381;4.617767402633892e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'max_iter': 200}
MLP;2;0.67;0.7126436781609196;0.8857142857142857;0.7898089171974523;0.00030480830873609577;3.099283246594702e-06;0.3096630573272705;0.0004549377742329787;0.004493333963606921;4.568810716645912e-05;{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'max_iter': 200}
MLP;3;0.69;0.7176470588235294;0.8970588235294118;0.7973856209150327;0.0003145397181918138;3.198231974130779e-06;0.3111555576324463;0.000455854664046107;0.00455291766560606;4.629395275558282e-05;{'alpha': 0.01, 'hidden_layer_sizes': (64,), 'max_iter': 200}
MLP;4;0.74;0.7473684210526316;0.9726027397260274;0.8452380952380952;0.0004484230749654464;4.559554591506145e-06;0.38284969329833984;0.0006059771283316843;0.004708370062426824;4.7874588831769066e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'max_iter': 200}
MLP;5;0.75;0.7613636363636364;0.9436619718309859;0.8427672955974843;0.00031591116701242667;3.2121768313786418e-06;0.3239479064941406;0.0004212148893499022;0.004495584101561065;4.5710986512802134e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (64,), 'max_iter': 200}
MLP;6;0.65;0.6551724137931034;0.9193548387096774;0.7651006711409396;0.0004679452850362193;4.758055934398455e-06;0.41869235038757324;0.0007199158231326451;0.004524128518854946;4.6001225432697624e-05;{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'max_iter': 300}
MLP;7;0.71;0.7727272727272727;0.8831168831168831;0.8242424242424242;0.00029936390647596447;3.0439247008171437e-06;0.3292384147644043;0.00042163930489572463;0.0047388534075121546;4.8184542720870325e-05;{'alpha': 0.001, 'hidden_layer_sizes': (64,), 'max_iter': 200}
MLP;8;0.7;0.7209302325581395;0.9117647058823529;0.8051948051948052;0.0007486966245675915;7.612728520840195e-06;0.545116662979126;0.0010695666065251308;0.004824300470871486;4.905336632032666e-05;{'alpha': 0.01, 'hidden_layer_sizes': (128,), 'max_iter': 300}
MLP;9;0.74;0.7816091954022989;0.9066666666666666;0.8395061728395061;0.0004517384642593218;4.593265386782871e-06;0.4160149097442627;0.0006104573841342187;0.004575756011293595;4.652617248234427e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'max_iter': 200}
MLP;10;0.67;0.6904761904761905;0.8923076923076924;0.7785234899328859;0.0006758110484664416;6.871629809110928e-06;0.5515525341033936;0.0010086732066663306;0.0045257582033894255;4.6017796024214274e-05;{'alpha': 0.0001, 'hidden_layer_sizes': (128,), 'max_iter': 300}
RF;1;0.72;0.7263157894736842;0.971830985915493;0.8313253012048193;0.0001848133566186511;1.8791775798048878e-06;0.22043681144714355;0.0002566852175259043;0.003311412787565688;3.3670362260195306e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}
RF;2;0.69;0.7052631578947368;0.9571428571428572;0.8121212121212121;0.0005108612521654823;5.19442441295687e-06;0.39748501777648926;0.0007403786263267861;0.0033101535259854376;3.365755811999672e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 300}
RF;3;0.68;0.6875;0.9705882352941176;0.8048780487804879;0.000362369260479629;3.6845615617971796e-06;0.3175976276397705;0.000532895971293572;0.0032024146303788505;3.256207172874741e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 200}
RF;4;0.75;0.7448979591836735;1.0;0.8538011695906432;0.00018343676544903124;1.8651804352811571e-06;0.2224431037902832;0.00024458235393204163;0.0031919476685048453;3.245564392265064e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}
RF;5;0.7;0.7204301075268817;0.9436619718309859;0.8170731707317073;0.0003329610852370477;3.3855399727198084e-06;0.318833589553833;0.0004756586931957825;0.003402306768282162;3.459456997887259e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 200}
RF;6;0.66;0.648936170212766;0.9838709677419355;0.782051282051282;0.0005225538216525777;5.313314166557304e-06;0.4300048351287842;0.0007917482146251177;0.003166421061200124;3.2196090019117053e-05;{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 300}
RF;7;0.78;0.8021978021978022;0.948051948051948;0.8690476190476191;0.00018829740366695384;1.9146032829030973e-06;0.2389812469482422;0.00024140692777814595;0.003139062677558329;3.191791065968122e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}
RF;8;0.68;0.6914893617021277;0.9558823529411765;0.8024691358024691;0.00017625216332604432;1.792127580896859e-06;0.24498701095581055;0.0002591943578324181;0.003176595157828104;3.229953997872965e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}
RF;9;0.77;0.8095238095238095;0.9066666666666666;0.8553459119496856;0.00018351948175853776;1.866021492643854e-06;0.2454066276550293;0.00023833698929680226;0.0032178559817835368;3.2719079002964337e-05;{'criterion': 'gini', 'max_depth': 10, 'n_estimators': 100}
RF;10;0.66;0.6631578947368421;0.9692307692307692;0.7875;0.00017443454345928303;1.773646067630079e-06;0.25182509422302246;0.0002642947628170955;0.0031701523553738413;3.2234029724791974e-05;{'criterion': 'gini', 'max_depth': 5, 'n_estimators': 100}
XGBoost;1;0.7;0.7204301075268817;0.9436619718309859;0.8170731707317073;6.235402649410169e-05;6.340141791810885e-07;0.14320802688598633;8.907718070585957e-05;0.009257428207121174;9.412929807541765e-05;{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}
XGBoost;2;0.69;0.7191011235955056;0.9142857142857143;0.8050314465408805;3.17051689079217e-05;3.2237736311792517e-07;0.1310720443725586;4.5949520156408265e-05;0.008579982946716438;8.724105164026148e-05;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}
XGBoost;3;0.69;0.6989247311827957;0.9558823529411765;0.8074534161490683;8.5308361378175e-05;8.674132811869585e-07;0.15429282188415527;0.00012363530634518116;0.008542731161626448;8.686227642276862e-05;{'learning_rate': 0.01, 'max_depth': 6, 'n_estimators': 100, 'subsample': 1.0}
XGBoost;4;0.74;0.7526881720430108;0.958904109589041;0.8433734939759037;3.42894056488177e-05;3.486538175541719e-07;0.14526629447937012;4.6337034660564465e-05;0.00827786136866825;8.416908700398839e-05;{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}
XGBoost;5;0.73;0.7244897959183674;1.0;0.8402366863905325;3.568259147353096e-05;3.628196961151316e-07;0.14791440963745117;4.888026229250817e-05;0.008411125537898533;8.552411373793604e-05;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}
XGBoost;6;0.62;0.6224489795918368;0.9838709677419355;0.7625;6.123334157448404e-05;6.226190829959331e-07;0.1668555736541748;9.876345415239362e-05;0.008429414756053586;8.571007804992053e-05;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}
XGBoost;7;0.78;0.8313253012048193;0.8961038961038961;0.8625;3.4828056145578725e-05;3.541308023099475e-07;0.15561604499816895;4.465135403279324e-05;0.008557515010519394;8.701259822791916e-05;{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}
XGBoost;8;0.68;0.6875;0.9705882352941176;0.8048780487804879;6.13809610267709e-05;6.241200738883444e-07;0.18090224266052246;9.026611915701602e-05;0.008114773838067853;8.251081707882064e-05;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}
