modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.6839999999999999;0.07244921593011816;0.7061426042475124;0.055133031032437475;0.9301063680483251;0.06678783696525056;0.8025009072655521;0.058143053780574876;7.081957555137277e-05;7.200916699004837e-07;2.7471113204956055;0.0015345123671104;1.560288330328027e-05;0.0016053319426617728;1.6322974973180756e-05;0.0009376801190514168;+20%
LR;0.698;0.046380072349136235;0.7158940497802784;0.04817505316130119;0.9424823221345606;0.04232946230270958;0.8126223830888651;0.03609643444462629;8.411150841706475e-05;8.552437102642123e-07;2.9156534671783447;0.0007082177531339428;7.201140370256058e-06;0.0007923292615510076;8.05638408052027e-06;0.00045703799678794936;+20%
LightGBM;0.6950000000000001;0.048591265790377494;0.7238408369207624;0.05198962438386655;0.9182041416312898;0.07692505051591393;0.806557864735373;0.03815963858920932;0.0010386595410989486;1.0561064191433638e-05;3.222593069076538;0.0453750443471863;0.00046137231410081566;0.046413703888285245;0.0004719333782922493;0.026974045744889926;+20%
MLP;0.701;0.060635523141692016;0.7314829120956945;0.06148635905720971;0.9084438514668894;0.026715731456435753;0.8090352767175277;0.04159664558596831;0.0046243363557974;4.702013620813827e-05;5.554170370101929;0.0450578231168004;0.00045814681657787676;0.0496821594725978;0.000505166952786015;0.028785143483386448;+20%
RF;0.7030000000000001;0.042439499421071294;0.7236967738380866;0.05416179744556591;0.936459377536995;0.029179458774357157;0.8147517183006222;0.029118402108590204;0.0033555035706921;3.411867623838359e-05;4.544582843780518;0.0325283993919318;0.00033074795005421927;0.0358839029626239;0.00036486662629260283;0.0206447572852896;+20%
XGBoost;0.7;0.042946995755750415;0.7156182245651654;0.04575783690282433;0.9485187651501897;0.029047810397959416;0.8148563618030803;0.03145936308374425;0.0008187376488923966;8.324903901376068e-06;3.158703565597534;0.0865403084508511;0.0008799396881568676;0.0873590460997435;0.0008882645920582436;0.05025302570292854;+20%
