modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.6950000000000001;0.05275730597114805;0.7101279257585063;0.0509990569328215;0.9538151008286508;0.04361907414605577;0.8129598139728769;0.039022982357179055;7.665138296849907e-05;7.793893416083609e-07;2.7501027584075923;0.0014920739716408;1.5171370761390523e-05;0.001568725354609299;1.5950760102998885e-05;0.000904509704058732;+10%
LR;0.7030000000000001;0.041912607490666415;0.7151422176734342;0.04445476750214449;0.9571146756430935;0.03510381269778702;0.8176598359296957;0.031752061466740804;7.328656246658068e-05;7.451759310466982e-07;2.9032464027404785;0.0007618550174979421;7.746522730487066e-06;0.0008351415799645228;8.491698661533765e-06;0.00047876548546817193;+10%
LightGBM;0.701;0.03900142447541;0.718303470416403;0.04737312309344232;0.9477053117425035;0.05286496072864965;0.815136799315832;0.028570000580454023;0.000769221108186984;7.821420956065231e-06;3.261869668960571;0.0418714092667229;0.0004257474403823508;0.04264063037490988;0.000433568861338416;0.024520454142761175;+10%
MLP;0.7;0.055176484524156175;0.7244551192823964;0.054123550196246664;0.9225789003304735;0.03042805359437626;0.8106980624548399;0.03993905599219691;0.0043190266053098;4.391575431437671e-05;5.553116798400879;0.0456363901586026;0.0004640296717635643;0.0499554167639124;0.000507945426077941;0.02888410029165142;+10%
RF;0.7070000000000001;0.04347413023856832;0.7177567345194115;0.04880648911910001;0.9604101522524757;0.025432531754624097;0.8203524938601285;0.030555754546414474;0.0030578244227301;3.1091882119927306e-05;4.406585931777954;0.0321707755388468;0.0003271116396759199;0.0352285999615769;0.0003582035217958472;0.02012937423653896;+10%
XGBoost;0.7;0.03399346342395188;0.7241618093526783;0.04254549868777197;0.925990173337059;0.06095254941654432;0.8108177511423733;0.028798669012638684;0.0007448036845157904;7.573145203927292e-06;3.113471508026123;0.08806783075157021;0.0008954714966402034;0.088812634436086;0.0009030446418441307;0.05134366869788037;+10%
