modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.714;0.04742245131674334;0.7229170410463828;0.05170304542945875;0.9615729722878881;0.03161079832492519;0.8240603037214601;0.03335759197531082;7.01275134410689e-05;7.130547997017623e-07;2.7325859069824214;0.0013451924359349;1.3677882986285464e-05;0.0014153199493759689;1.4390937785987226e-05;0.0008050651498901152;+40%
LR;0.7110000000000001;0.04771442828607155;0.7187828202154558;0.0467519707983945;0.9638743535909263;0.03210790210479982;0.822627471902238;0.03499535367483739;0.0001032374482924493;1.0497157877379235e-06;3.021983385086059;0.0007841627059032388;7.973346747297748e-06;0.0008874001541956881;9.023062535035672e-06;0.0005056519470511654;+40%
LightGBM;0.6990000000000001;0.0438304815295373;0.7183848665271826;0.05275417912709566;0.9422924672116538;0.02571557827362208;0.8137398019814654;0.02966021180528096;0.0009184666159921419;9.338945540249246e-06;3.1885769367218013;0.0482079455696547;0.0004901771827556765;0.04912641218564684;0.0004995161282959258;0.028298595519562264;+40%
MLP;0.706;0.038930136855083834;0.7323254280586943;0.04507492947518159;0.916386745996635;0.04246490793861857;0.8127372627655888;0.029132680661474335;0.0038595853577511;3.924416721998939e-05;5.136532783508301;0.043760369685246;0.00044495434259208454;0.0476199550429971;0.00048419850981207393;0.027464658414184995;+40%
RF;0.71;0.04136557881996951;0.7235966230625949;0.04529536010091451;0.9489879876949819;0.03222994878366177;0.8200426296351958;0.030123133645629237;0.0037523494017265;3.81537947058089e-05;4.77332615852356;0.0328625205371202;0.0003341452854874593;0.0366148699388467;0.0003722990801932682;0.02092938461570564;+40%
XGBoost;0.708;0.039944405810520625;0.7204217345843478;0.038799562697023324;0.9508039673785886;0.04934655719252147;0.8187965113275268;0.03310748942922149;0.0007257301778593075;7.379206266110058e-06;3.1079986095428467;0.0977146291211603;0.000993559900772189;0.0984403592990196;0.0010009391070382992;0.056355018855237665;+40%
