modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.705;0.04403281604540969;0.7137974661263591;0.046406083064019804;0.9676316679730101;0.02975584725716957;0.8204485524826108;0.03068308716750595;7.100479394286696e-05;7.219749658647555e-07;2.7335317134857173;0.001433693070922;1.4577755225552209e-05;0.001504697864864867;1.5299730191416965e-05;0.0008596731137986511;+30%
LR;0.705;0.041965594373380564;0.7174720319285014;0.044817015094758286;0.955809960678336;0.043252122753890725;0.8184285478745977;0.031176854054525457;0.00010128239355125719;1.029836840111209e-06;2.9313492774963374;0.0006851242820503116;6.966326534858986e-06;0.0007864066756015687;7.996163374970195e-06;0.0004504035600217206;+30%
LightGBM;0.716;0.03657564459825388;0.7264255656335676;0.03271431214643751;0.9511662367440756;0.04140489958301333;0.8231813622202818;0.02889406153072528;0.0006260336135086593;6.365494097579467e-06;3.0476891994476314;0.0457336985555365;0.00046501910110563504;0.04635973216904516;0.0004713845952032145;0.026398593112283146;+30%
MLP;0.6980000000000001;0.039944405810520625;0.7281853902942672;0.047810554067716345;0.9089790605006687;0.03526514913259805;0.8073861582156624;0.030477491567548337;0.0040717569902012;4.140152306301858e-05;5.311508417129517;0.0454333502695422;0.00046196516725853856;0.0495051072597434;0.0005033666903215572;0.028741147204093386;+30%
RF;0.702;0.039944405810520646;0.7197625994169756;0.04843746365775999;0.9437586983201548;0.029903528886523964;0.815328099174204;0.02813638018652501;0.0030175730658441;3.068260733156269e-05;4.375499486923218;0.0326157599285194;0.0003316362298015209;0.0356333329943635;0.0003623188371330836;0.020486106646824143;+30%
XGBoost;0.698;0.03392802839999859;0.7217352286027092;0.04544987259305078;0.9278014809440958;0.04024720532744884;0.8104887383444174;0.027142716179146025;0.0008881080601243411;9.030260504784687e-06;3.21137523651123;0.0915221565125574;0.0009305949944336228;0.09241026457268174;0.0009396252549384074;0.05344518955456865;+30%
