modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.6950000000000001;0.04089281382128431;0.7102289784101885;0.04612996287660889;0.956560817032608;0.04038068679868059;0.8137414696300406;0.02913170332956127;0.00010517750284079956;1.0694422137796352e-06;2.7457654476165767;0.001486530160262;1.5115001426185488e-05;0.0015917076631027996;1.6184443639965123e-05;0.0009168794754206153;+50%
LR;0.704;0.045995168828427566;0.7103333281185387;0.044625807146513624;0.9720654775319394;0.027593393885851237;0.8202720575778961;0.03510017369749411;7.164229675938421e-05;7.284570785311772e-07;2.9499931335449214;0.0007024164605429904;7.1421529725362016e-06;0.0007740587573023747;7.870610051067379e-06;0.00044233510090004496;+50%
LightGBM;0.704;0.04671426144361294;0.7238678931546272;0.047731493087952666;0.9321566183712161;0.04568167231736688;0.8138284721137863;0.03723152659285496;0.0009359701289321563;9.516920821290323e-06;3.249765634536743;0.044578094318714;0.00045326894617800514;0.045514064447646156;0.00046278586699929544;0.026214895644108928;+50%
MLP;0.708;0.03392802839999859;0.7295352588005265;0.038393481999420706;0.9260399860696522;0.03507937616177475;0.8152996010433142;0.027306902449419877;0.0043241685584325;4.3968037564901564e-05;5.359426498413086;0.0427071255915524;0.0004342449830352719;0.0470312941499849;0.0004782130206001735;0.027039900695961197;+50%
RF;0.708;0.04442221666388715;0.7310193591889982;0.049822520345919115;0.9247557829624592;0.047642642023904065;0.814950789589529;0.03342806226050369;0.0032972616340983;3.3526473686285404e-05;4.501288890838623;0.0333133472969219;0.0003387292806861583;0.036610608931020194;0.0003722557543724437;0.0210577012695616;+50%
XGBoost;0.704;0.04351245032554859;0.7211286034175156;0.04916640065636466;0.9427999365443096;0.037415184425007554;0.815890287913394;0.032644415622647034;0.0009607708515309204;9.769093947320358e-06;3.256291151046753;0.0910029604476877;0.0009253158218538812;0.09196373129921862;0.0009350849158012016;0.05283481769182575;+50%
