modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.692;0.046380072349136235;0.7080731093632935;0.045906486117220195;0.9524180288745487;0.03679784460774086;0.8113483025824628;0.03495407492234743;7.700548530288891e-05;7.829898452727956e-07;2.3491957187652583;0.0014353018523473;1.4594113274777953e-05;0.0015123073376501891;1.537710312005075e-05;0.000873711637256172;-10%
LR;0.6990000000000001;0.04383048152953731;0.7100000505438557;0.04228284074640238;0.9605458867508203;0.038402187143690765;0.8158647418561669;0.035308229311627894;8.437019245867067e-05;8.578740031182198e-07;2.6469092369079585;0.0006663643674258608;6.775576192966412e-06;0.0007507345598845315;7.633450196084631e-06;0.00043132401240785596;-10%
LightGBM;0.6970000000000001;0.04473378042498878;0.7154678038074749;0.04455959629184073;0.9435858405997541;0.05246598016521696;0.812369914129978;0.03321548377535737;0.0008692107012956573;8.838112633665873e-06;2.832765102386474;0.0395044290633048;0.00040168004497605713;0.040373639764600455;0.000410518157609723;0.02329589850219425;-10%
MLP;0.702;0.0461398839279954;0.7276347439337798;0.04739776425768601;0.9164803532142447;0.02019017070429304;0.8106365533445627;0.03527272802689218;0.0048891782045311;4.9713041490743e-05;5.336187362670898;0.0454794506335433;0.0004624339146047067;0.0503686288380744;0.0005121469560954497;0.02912522828953256;-10%
RF;0.6990000000000001;0.049542350009304605;0.7178111988239135;0.05541994917936692;0.9452285161281824;0.04366282832864378;0.8139636384252584;0.03336826327041952;0.0028616022648573;2.909670013480677e-05;3.9159924983978267;0.0323358743017538;0.0003287903597607914;0.035197476566611104;0.0003578870598955982;0.020269447776692113;-10%
XGBoost;0.696;0.04005551702879946;0.7110917849042762;0.04383703964293456;0.9544216528294676;0.03881828371179759;0.8137673896198256;0.029794497254118788;0.0008551203013608892;8.69484180014906e-06;2.82638931274414;0.0840573481238117;0.0008546930097593448;0.0849124684251726;0.0008633878515594939;0.04891100388710265;-10%
