modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.696;0.04141926551202416;0.7095169158327053;0.040356435739299534;0.9548833379639057;0.036375015569501824;0.8135371229423104;0.03370512930722474;7.437337338280876e-05;7.562265972140639e-07;1.2884688377380367;0.0015377577568101999;1.563588234443828e-05;0.0016121311301930087;1.6392108941652342e-05;0.0009288773688373647;0%
LR;0.7060000000000001;0.036878177829171535;0.7166904054709502;0.03960704232189924;0.9584615435343714;0.03601554541504971;0.8193139851319321;0.02929111106055447;7.572045140667014e-05;7.699236528111415e-07;1.4711947441101072;0.0007120293712818818;7.2398968080891225e-06;0.000787749822688552;8.009820460900263e-06;0.00045068524393373106;0%
LightGBM;0.713;0.05313504806936127;0.7324581745866006;0.05780849074419825;0.9334307680987266;0.06831857764378271;0.8183695566188799;0.042411392669010076;0.001023349228407942;1.040538931557275e-05;1.799566030502319;0.0409675759857362;0.0004165572862258173;0.041990925214144145;0.00042696267554139005;0.024051455950755234;0%
MLP;0.705;0.03472111109333274;0.7315752052846094;0.039599962149496466;0.9127741565230462;0.027689092329537947;0.8115792970005632;0.028451652279061358;0.0044619530792079;4.5369027120107774e-05;3.9571115970611572;0.0459804842902643;0.0004675284122734052;0.0504424373694722;0.0005128974393935129;0.029134025527051532;0%
RF;0.709;0.04408325456829762;0.7199712052452324;0.05353953811412258;0.960692675481595;0.025345534341560203;0.8215612851279925;0.029822454732625143;0.0028194991338127;2.8668596553191096e-05;2.888000965118408;0.0322883226144605;0.0003283068553957469;0.0351078217482732;0.000356975451948938;0.020030846916407753;0%
XGBoost;0.711;0.04840798832148817;0.7295945644218298;0.05967756529897807;0.940483570932533;0.04245951472658369;0.8194278656934777;0.032434031474795844;0.0006434437661054514;6.542520092990876e-06;1.6380159854888912;0.0853697652348361;0.0008680376340630895;0.08601320900094155;0.0008745801541560804;0.04920279965396864;0%
