modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.7;0.05436502143433363;0.7157287206742954;0.04893310472436844;0.9471516118468305;0.04224017727511167;0.8144017601662428;0.03950149441207148;7.310908873340835e-05;7.433713825742095e-07;2.366109132766723;0.0014953481119138;1.5204662137657404e-05;0.0015684572006472084;1.5948033520231614e-05;0.0009027538755964884;-20%
LR;0.7030000000000001;0.05012207320355197;0.7117760240131591;0.04650816042212551;0.9645922629098725;0.03612195107350612;0.8184670772472943;0.03833410995623551;0.00011916410172012055;1.2116576007658577e-06;2.609963417053222;0.0006607268216730351;6.7182537689941335e-06;0.0007798909233931557;7.929911369759992e-06;0.00044665072586112277;-20%
LightGBM;0.704;0.042478752858863975;0.7160931118487208;0.04318449865351465;0.9548898930786202;0.03672779494761378;0.817593469439797;0.03310790274417846;0.0007138990404853701;7.258907557707349e-06;2.7265644073486324;0.040307497667437;0.0004107873004409856;0.04102139670792237;0.00041804620799869296;0.02357153146287309;-20%
MLP;0.693;0.046439925351648294;0.717865929975928;0.05154647591424202;0.9274113440147866;0.02646029538472918;0.808066428902617;0.03289891036714122;0.0045594453475713;4.636032606226602e-05;5.100149393081665;0.0446710770219466;0.0004542143919748972;0.0492305223695179;0.0005005747180371632;0.028557670107458768;-20%
RF;0.701;0.043063260959249776;0.7140066388164547;0.047275127158330016;0.9577127198559652;0.0330597700327502;0.8168676263568196;0.03073858671304505;0.0034176262460953;3.475033804546795e-05;4.232151746749878;0.0324463717580152;0.00032991389512766723;0.0358639980041105;0.0003646642331731352;0.02057985970659368;-20%
XGBoost;0.702;0.04802776974487434;0.7138301131249054;0.048308787150691875;0.9593804983897136;0.030209038233407922;0.8175630126601463;0.03402567984347976;0.000513674084762376;5.223025224329687e-06;2.6179308891296382;0.0827920313030151;0.0008418273000265962;0.08330570538777747;0.0008470503252509259;0.047762703778650537;-20%
