modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.694;0.049035134795822104;0.7058830468169512;0.04716020432549819;0.9638219255154873;0.03430879147936836;0.814091358759802;0.03647002589265094;7.442623082807708e-05;7.567640503932676e-07;2.3581166267395015;0.0013131379934745;1.3351954218439703e-05;0.001387564224302577;1.410871826883297e-05;0.000798942164407747;-50%
LR;0.6950000000000001;0.042229531531066414;0.705722171305411;0.045204571982840724;0.9688107948510332;0.03179016211839107;0.8155615294726942;0.03087818787529623;7.545198691947174e-05;7.67193912631388e-07;2.549469232559204;0.0006941698508471705;7.058301651758759e-06;0.0007696218377666423;7.825495564390148e-06;0.0004423398265874975;-50%
LightGBM;0.6900000000000001;0.04966554808583781;0.7125578010021163;0.046060482869605776;0.9346238964139276;0.05752429049613523;0.8071690183208627;0.037262065290835866;0.000868247827682787;8.8283221588931e-06;2.8221380710601807;0.0409710683357622;0.000416592796353384;0.04183931616344499;0.0004254211185122771;0.024297158486353006;-50%
MLP;0.7030000000000001;0.04423422506008965;0.720381246433696;0.04661671382870444;0.9435472540578992;0.022281687698110536;0.8159972440425604;0.029519056364185305;0.0037858591068319;3.8494520547772965e-05;4.666867971420288;0.037769794723828104;0.00038404232647159685;0.041555653830660004;0.00042253684701936984;0.023871341220580124;-50%
RF;0.705;0.05126185499743233;0.7161575044476253;0.05173444650360006;0.9600499444908029;0.0297130363610176;0.819186879746789;0.035629405978139385;0.0030071131264243;3.057625092960495e-05;4.027189016342163;0.0328496803529106;0.0003340147268161136;0.0358567934793349;0.0003645909777457185;0.02051747225159767;-50%
XGBoost;0.702;0.049620784175809056;0.711248180567584;0.049379192118278514;0.9666325736402227;0.03636092256208012;0.8184781495005449;0.03683396046720025;0.0009722328873058536;9.885639639912008e-06;2.944711685180664;0.0877525164876799;0.0008922653891047349;0.08872474937498576;0.000902151028744647;0.05081279500314937;-50%
