modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.697;0.04029061098237817;0.7079132361765639;0.04224196757747579;0.9659153004392869;0.03878658320625286;0.8159871665222251;0.03031805954469848;7.261228277996847e-05;7.383198720865546e-07;2.366202592849731;0.0013874870714342;1.410793378039866e-05;0.0014600993542141685;1.4846253652485216e-05;0.0008387537469450227;-40%
LR;0.696;0.04351245032554859;0.7066448795860646;0.045127772205421406;0.9669934391036458;0.034484427659069075;0.815640399199135;0.03296946748899463;7.215263409436191e-05;7.336461757672948e-07;2.552598476409912;0.0006161410791060553;6.264907055619385e-06;0.0006882937132004172;6.9985532313866795e-06;0.0003955582684277467;-40%
LightGBM;0.6890000000000001;0.04357624225296266;0.7136563879936966;0.043038491771620536;0.928988012801055;0.056673877832918836;0.8057463744215856;0.03378810269671255;0.0007819037492318815;7.950377732459052e-06;2.7839446067810054;0.0405671952931445;0.00041248622537463984;0.04134909904237638;0.0004204366031070989;0.024054873864187032;-40%
MLP;0.6950000000000001;0.03922867431979939;0.7197001663575515;0.042903213845341494;0.9266764647258275;0.029993049484893744;0.8091684196270983;0.027083868016223082;0.005078284801221;5.1635872628029816e-05;5.484853267669678;0.038378043316148;0.0003902269829193104;0.043456328117369;0.0004418628555473402;0.02517384162140158;-40%
RF;0.702;0.04131182235954576;0.7140955962932971;0.04582918911708572;0.9587294878140911;0.026921620412262925;0.8174963778332127;0.030126319119198268;0.0029380394220099;2.9873911233684625e-05;4.029684782028198;0.0322990666850029;0.0003284161008358426;0.035237106107012806;0.0003582900120695272;0.02020457827615607;-40%
XGBoost;0.6950000000000001;0.04766783215358364;0.7105219096083416;0.048859232944657126;0.9524110412372486;0.03697100275042491;0.8127902535698184;0.03564610636497431;0.0007688755301528491;7.817907127272786e-06;2.7668452262878414;0.0820680905973982;0.0008344662890694134;0.08283696612755105;0.0008422841961966862;0.0477728433308924;-40%
