modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.6950000000000001;0.04949747468305832;0.7059542064647351;0.047642921310985256;0.9668858312314228;0.035245575807607184;0.8151328459331353;0.03642535142284768;7.88909921392395e-05;8.02161631545527e-07;2.346195220947265;0.0014695311185719;1.494215559617372e-05;0.0015484221107111395;1.574431722771925e-05;0.0008904229878836158;-30%
LR;0.7030000000000001;0.04967673276069772;0.7092090808143288;0.04689242459063719;0.9733737755149147;0.033245499630282394;0.819882978948258;0.03767929904053964;9.3469259520871e-05;9.503930890396449e-07;2.6391911506652828;0.0006408261087536619;6.515903818620225e-06;0.000734295368274533;7.46629690765987e-06;0.0004198114807611366;-30%
LightGBM;0.6990000000000001;0.04012480529547776;0.7107836128837067;0.039655165316864485;0.957763196246041;0.025007432468651423;0.8155883256267396;0.032101392153720994;0.000612128959662489;6.224111925636495e-06;2.7145457267761226;0.0392618996598383;0.0003992140120779163;0.03987402861950079;0.0004054381240035528;0.022916828170880085;-30%
MLP;0.701;0.05342700108039419;0.7249799474754782;0.053975830604160925;0.9260689949370071;0.023304944958616607;0.8121245806437203;0.0357289128592578;0.0049602312698743;5.043550727899758e-05;5.428196430206299;0.0435013717437365;0.00044232085801172347;0.0484616030136108;0.0004927563652907211;0.02797116228386615;-30%
RF;0.701;0.04201851443775178;0.7138148385016951;0.04670233920101711;0.9573890476026247;0.021700056703490258;0.8168566262192998;0.030163568779698585;0.0038724091714134002;3.9374559436024096e-05;4.48550271987915;0.0329202813586071;0.00033473259607320606;0.036792690530020496;0.00037410715550923016;0.021113056215014924;-30%
XGBoost;0.697;0.04945255863507524;0.7097204056707903;0.05294926853718776;0.9631969636146296;0.024227987154667285;0.8159041953569682;0.03339682345355968;0.00044062106797249724;4.480223979872465e-06;2.5592014789581294;0.083848094127606;0.0008525653203685525;0.08428871519557848;0.000857045544348425;0.04842455746556906;-30%
