modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.6893158884622809;0.0018913960852359741;0.692933714750035;0.004549319344603733;0.8076772026551705;0.006409009700660901;0.7458880545595837;0.0019400394823291603;0.0511367572206477;0.0038155649034379;126.17616820335388;0.5532408974206877;0.041251651824633;0.6043776546413354;0.0450672167280709;2.78540282079032;+40%
LR;0.6841949307762933;0.0027344581350518976;0.6831129711964301;0.00423184840843385;0.8219349529414666;0.0023889032169909807;0.7461117463066884;0.0023620958015334727;0.0269808736096013;0.0021236207710155;116.2404637336731;0.1404031681139331;0.0103032070279693;0.1673840417235344;0.0124268277989848;0.7678163014709045;+40%
LightGBM;0.7027030646629939;0.011377949014340654;0.6892881256719371;0.019295804737262327;0.8652531284117938;0.02691961798257008;0.7667229792623015;0.002799768226430227;0.006012109261906099;0.0005426571659031814;20.662672996520996;0.1539119488273868;0.0115167743451454;0.1599240580892929;0.012059431511048583;0.7250856015744229;+40%
MLP;0.69391823278077;0.0038102033280743726;0.6986311294562607;0.00981481683979747;0.8065973107308568;0.0373497778657801;0.74814888052163;0.01099032389546684;1.1785772326486332;0.028524760909395;997.9648675918579;6.992295052015013;0.3252616341150897;8.170872284663647;0.35378639502448467;21.799875980910745;+40%
RF;0.6999530044782796;0.010329400278212704;0.6871200172271399;0.01606418478933265;0.8624140270121055;0.020475458623011058;0.7644851519158571;0.0036264611709920236;0.061143914086324004;0.003497120831697882;110.0400161743164;0.1917497856545422;0.0148514795258864;0.25289369974086623;0.01834860035758428;1.1064576916436122;+40%
XGBoost;0.696602119263784;0.00919775478430511;0.6757973253718597;0.014547482502950498;0.8911692894479559;0.02044623069842604;0.7683548774848832;0.0031736885190476174;0.0112415947769333;0.0010373357275032522;45.145299434661865;0.5341926313816474;0.0393911863376404;0.5454342261585807;0.040428522065143656;2.425643308602268;+40%
