modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.6854874723275367;0.004082657373233612;0.6883967312604107;0.004411902700017006;0.8093479259517103;0.006545391889291663;0.743961389868106;0.002564063735994021;0.2398294113041621;0.0034311729763607;113.00010657310486;2.5705524514669116;0.0373963786335825;2.8103818627710737;0.0408275516099432;2.5299029692280945;+50%
LR;0.6809593139130996;0.00422250461510271;0.6803152049778174;0.005649222896143306;0.8205001777683572;0.001810801069122352;0.7438465990229359;0.003229904538882595;0.1250339204568798;0.0017650279567750632;105.71901345252991;0.6903376336696299;0.009925792591052699;0.8153715541265096;0.011690820547827762;0.7245402855411077;+50%
LightGBM;0.6919010047766716;0.0050017353650073;0.6711751206193862;0.008014721207848751;0.8913910761367534;0.017321426049770935;0.7656091508582205;0.0032612511464271497;0.0404322709692631;0.0005886843777663921;21.991235494613647;0.7798720636836922;0.0128004607221545;0.8203043346529553;0.013389145099920893;0.8062071729608373;+50%
MLP;0.692567957418164;0.0024908055596716706;0.6926512786483836;0.004698667309600698;0.8190552591485443;0.015214215808428888;0.7504670174712931;0.004289960485470578;1.9529740880309956;0.0313369189829139;1291.3155257701874;16.900610017764933;0.2937625971224368;18.853584105795928;0.3250995161053507;19.970348254551983;+50%
RF;0.6907073059180048;0.008277019778332211;0.6737412007481864;0.01240012358391848;0.8779449759828957;0.013083521887379147;0.7622220577792614;0.0031827465508607556;0.1870299143765763;0.0025474915686856284;80.14813470840454;1.0921388412556703;0.0155833496358388;1.2791687556322466;0.018130841204524427;1.096572542080161;+50%
XGBoost;0.6931196112076268;0.006963507792317638;0.6718588212312046;0.01299782623206647;0.8938569543071806;0.020126474775597893;0.7668274638219168;0.002648546776647994;0.0826763295812098;0.0011488236460107063;50.472365856170654;2.5044010815329414;0.0419208542513905;2.587077411114151;0.0430696778974012;2.5892553993492573;+50%
