modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.680407659445843;0.00377648051135833;0.6869688641036535;0.004431310694438168;0.7972354056707482;0.00402508529575846;0.7379926561280055;0.002748470203175819;0.0939394343217385;0.0020805395404072283;68.44161033630371;1.0746979974135016;0.0259414180023776;1.1686374317352402;0.028021957542784828;1.7504405118339208;-50%
LR;0.6779459999115344;0.005194007753136036;0.6831225120150786;0.005780947950971594;0.8012997153597;0.004874941044417555;0.7374909197482277;0.004137797330960185;0.0031207714015379436;8.996960108051756e-05;7.084462642669678;0.0959052981459602;0.0022817363785499;0.09902606954749815;0.0023717059796304176;0.148253548258314;-50%
LightGBM;0.6995991472321789;0.01270336653292419;0.684659187510535;0.01986395453170812;0.8710610642579381;0.027050600938531087;0.7660864943737973;0.0031009247293988123;0.014816895768031755;0.0003042462970229356;12.487872123718262;0.2334519760791543;0.0056470506444475;0.24826887184718605;0.005951296941470436;0.35812508250265657;-50%
MLP;0.6917529095085017;0.005338440966865055;0.6886439894206975;0.006721762501690737;0.8290657434056264;0.019000422681689194;0.7522156631464705;0.006530688215748338;0.6416213226228715;0.011949528223122;496.34112668037415;5.954184412857568;0.1325811028239261;6.59580573548044;0.1445306310470481;8.857648700638043;-50%
RF;0.7128625718124391;0.010404034494851966;0.7042795055724884;0.013860879051446265;0.8483489815442949;0.013384438138185278;0.7694277218206748;0.0045793162360501785;0.0791711805411767;0.002217835963037889;79.19658613204956;0.3256768633310308;0.0078944962409328;0.4048480438722075;0.01011233220397069;0.6058769412413993;-50%
XGBoost;0.6931937069650825;0.005783833731462631;0.6688250931635837;0.006315903018091633;0.9045005541519384;0.0031176828237511555;0.7689931395996847;0.00420473347685944;0.0124905037096827;0.000301426722153051;13.957873821258545;0.7101458972324547;0.0171911940533385;0.7226364009421374;0.01749262077549155;1.048656712555269;-50%
