modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.6816096782253174;0.004195191744843857;0.6893494532112866;0.0037789341172719316;0.7937871458895653;0.0073125579472907865;0.7378727287068925;0.0038679937342078687;0.0125988122779162;0.0031998161691815;106.54814767837524;0.1363741407169929;0.0346359776539749;0.1489729529949091;0.0378357938231564;2.3638630720290195;-30%
LR;0.6804571031593318;0.004596001587890664;0.6848454949687084;0.005156449739618502;0.8040160780875055;0.0033748509654843942;0.7396543955403565;0.003915226339200428;0.0010060498436663793;0.0002555141298843144;19.267739057540894;0.0133999346162684;0.0034032833020514;0.01440598445993478;0.0036587974319357143;0.22803969344225108;-30%
LightGBM;0.7128213958296232;0.006049361350194523;0.7048450011863852;0.00869205732568515;0.8457678910918119;0.008031952152527482;0.7688251065383648;0.0027417547869821837;0.0016845548423179086;0.00042783920447580934;17.21334409713745;0.0228341399453156;0.0057993601773441;0.024518694787633508;0.00622719938181991;0.3733929720303336;-30%
MLP;0.6946838688332594;0.0037317106726953465;0.6946185745448548;0.01329685339179789;0.8215266885268191;0.0339621171331227;0.7521603990766978;0.007758996222981918;0.0712412171348588;0.0180936737108067;720.274924516678;0.6953069246776729;0.176592387524311;0.7665481418125316;0.1946860612351177;11.932331765878757;-30%
RF;0.7186093007347517;0.004534626324933356;0.710618579720356;0.005841426915442186;0.8462613079116121;0.005441682590868348;0.772507828013324;0.003648472600444019;0.0101454235443089;0.0025767103742928;102.50474977493286;0.0310704102312497;0.0078911883793469;0.0412158337755586;0.010467898753639699;0.6246799256181349;-30%
XGBoost;0.705609151660749;0.011364010095138294;0.6903909930114671;0.018440759954347106;0.8707952642606912;0.02833850932817748;0.7695919220952611;0.0042028844429491535;0.002904831187576;0.0007377620681786227;30.442355394363403;0.0784728032596323;0.0199303346356977;0.0813776344472083;0.020668096703876322;1.2380577689207604;-30%
