modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.6821942484004503;0.0032680429735481124;0.6891780499715916;0.004575015305902198;0.7962358733992555;0.004172390761581713;0.7388319575003537;0.0024111108138705384;0.053887050123586105;0.0040368407274286;135.06389498710632;1.377567737880519;0.043329128190736;1.431454788004105;0.047365968918164594;2.955436814773057;-10%
LR;0.6823095445413043;0.005062868989173082;0.685918919771848;0.005149254702709718;0.8066739647263693;0.004890064833209783;0.74140343176782;0.004380336503560516;0.002734798307750119;0.0003470050289583629;26.207887411117554;0.0836077048252188;0.0036853997854012;0.08634250313296891;0.004032404814359563;0.2507324001707493;-10%
LightGBM;0.710804289150643;0.008586731688901174;0.7010550328861843;0.013713650981524338;0.8518513931967083;0.017736002090765975;0.7688618253049426;0.0028333096376503405;0.013017354729815411;0.00047780306172704145;18.98006534576416;0.133895147480142;0.0058530673321118;0.1469125022099574;0.0063308703938388415;0.3795911248945376;-10%
MLP;0.69626466734259;0.004830197671297212;0.6939144757607828;0.011381816432758091;0.8279672377040919;0.027145215268594616;0.7546566196413758;0.006635994647393687;0.43107063128617884;0.0243390065982206;852.2699673175812;6.433808204795138;0.2777379461334049;6.864878836081317;0.3020769527316255;18.453091324562504;-10%
RF;0.7201653434976399;0.004522972211780414;0.7117832566957403;0.005628018060052863;0.8476022647798216;0.0030527498873125242;0.7737632636014993;0.0033500830365487083;0.0632281319534879;0.0027621206707258;116.72545409202576;0.1853655140004319;0.0080994887850234;0.2485936459539198;0.0108616094557492;0.6471232474638615;-10%
XGBoost;0.7048599392336029;0.011546470553728675;0.6881760878192933;0.01935251477770457;0.8762398468073455;0.030514645804546894;0.7702418368449641;0.00367192663384296;0.022211467077256502;0.0006674645185663796;27.72404980659485;0.5161383606199637;0.0222568514575738;0.5383498276972202;0.02292431597614018;1.3720508494175438;-10%
