modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.68050649536048;0.0025389222710363976;0.6894699150938738;0.004710861242362189;0.789940155403684;0.00643770068483593;0.7362633411980501;0.002370237746773055;0.0169797793523464;0.0043124836946742;145.65638160705566;0.1816870253936112;0.0461444355833523;0.1986668047459576;0.0504569192780265;3.1592826215305556;+20%
LR;0.6822024788524559;0.004534786577456944;0.6865107833847233;0.004739057433320597;0.804491390617606;0.0053357058117467085;0.7408197849609822;0.0037623219975217058;0.0034799341412796642;0.0008838253390339459;52.639506340026855;0.0204546597212511;0.0051950254887037;0.023934593862530766;0.006078850827737646;0.3782769154490994;+20%
LightGBM;0.7115617604971407;0.0044303925130332504;0.7021116323613661;0.007992543906527951;0.8498866312576754;0.00819110089969105;0.7688943580925753;0.0027298418387767345;0.0026008853968797;0.0006605666441838794;24.947812795639038;0.0325578650698504;0.0082689685969175;0.0351587504667301;0.008929535241101379;0.5353811876523231;+20%
MLP;0.6937617538791605;0.003627876237735133;0.6946763956359652;0.009477028631436759;0.817234687464446;0.019251266433518623;0.7507698675528227;0.004046646773440551;0.092386933023693;0.0234642119899287;812.9985065460205;1.089826046854149;0.276791409332466;1.182212979877842;0.3002556213223947;18.436787011818257;+20%
RF;0.7081944001449612;0.007686626245864923;0.6986856275227308;0.011701132623985994;0.8505630496084409;0.015414107220862765;0.7669824857795289;0.003031162818221576;0.0127513723372934;0.0032385630076927;116.34972095489502;0.0428810826246583;0.0108908346681947;0.0556324549619517;0.0141293976758874;0.8492569842665818;+20%
XGBoost;0.7020113034071306;0.009881947137198872;0.6840860486251529;0.015617869881993594;0.8796021650082466;0.023575356268963392;0.7692195993565517;0.004057481515318671;0.0043588281348505;0.0011070447306392363;47.40138339996338;0.1275121210400798;0.0323852231202718;0.1318709491749303;0.033492267850911035;2.007220758829522;+20%
