modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.68142031072759;0.004638592607602395;0.6879403451746454;0.0044582022978999275;0.7975583208682744;0.006931101828575023;0.7386811645985258;0.0034464226458437216;0.0097514838172389;0.002476658505866292;83.05949854850769;0.1185342934366443;0.0301050559667412;0.1282857772538832;0.03258171447260749;2.033376657171912;-40%
LR;0.6788516526060344;0.004687643678174834;0.6838241735743058;0.005104105204243382;0.8020097619523725;0.003370229674372888;0.7382080941616228;0.0037182984521537794;0.0007716200791647908;0.00019597421973699522;11.560802698135376;0.0107146451071114;0.0027212799035727002;0.011486265186276191;0.0029172541233096956;0.182178190876261;-40%
LightGBM;0.7074451463723836;0.008478949071134332;0.6967739350896573;0.01380269859128947;0.8546644476203685;0.01866621970976489;0.7673919620685286;0.001684069734370844;0.0013483043982052826;0.00034243912197341807;13.760761499404907;0.0217730411263016;0.005529864840539;0.023121345524506884;0.0058723039625124185;0.3527704563677039;-40%
MLP;0.6946756044915562;0.004123976859745543;0.6893756702584011;0.006806315394059705;0.8362851768254183;0.01766568442243069;0.7556115616550809;0.004815464716735087;0.043648952155056;0.011085856332538101;522.6121957302094;0.5749937736323818;0.1460355415623493;0.6186427257874378;0.1571213978948874;9.586005310835498;-40%
RF;0.7177365827263587;0.0038075861085907587;0.709656068630298;0.005240712889029553;0.8463745324934824;0.004727878490244911;0.77198826346337;0.002898891503090767;0.0095729100176707;0.002431304759922;92.27790069580078;0.0294672285282291;0.0074840161299076;0.0390401385458998;0.0099153208898296;0.5921026454087192;-40%
XGBoost;0.6998295029637964;0.012884855115498086;0.6806952576526616;0.02083982278605883;0.8861590739163333;0.029391611051505933;0.7692748259588609;0.003911716164371592;0.0018328059167792;0.00046549165731776397;20.108277320861816;0.0717255886674331;0.0182166932326184;0.0735583945842123;0.018682184889936164;1.1195592191029462;-40%
