modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;reducao
KNN;0.6822930361917166;0.003552552070927381;0.6894324519301923;0.004319026499575034;0.7957513685523615;0.005687372061912928;0.7387691940391709;0.00319907899690726;0.0142180663304314;0.0036110704354534997;120.6008996963501;0.2026447052633348;0.0389903374090001;0.2168627715937662;0.0426014078444536;2.6583741139660733;-20%
LR;0.6810910574020854;0.005254426553299857;0.6851156585662148;0.005214820833768448;0.8052121472658508;0.00543152116766369;0.7403175316856972;0.004739743943255038;0.0012502790670442469;0.0003175428831280489;22.239824533462524;0.014521290100474201;0.0036880824823719;0.01577156916751845;0.0040056253654999485;0.24943260350606553;-20%
LightGBM;0.7140481459549576;0.004573549156195598;0.706150830902187;0.0065570138387716585;0.8454569085491748;0.006356250430805912;0.7695082520171926;0.0026970345172479997;0.001553293193404425;0.00039450168524611236;16.07967495918274;0.0230399057496791;0.0058516200835436;0.024593198943083525;0.006246121768789713;0.3741950950966181;-20%
MLP;0.6955154427151525;0.004487489125333613;0.6918360562713259;0.006481667505645986;0.8310131590575048;0.016933959535107308;0.7549444479887357;0.005831649793952152;0.0993717185991873;0.0252381911023816;877.9195351600647;1.0248549369405437;0.2602902024372999;1.1242266555397311;0.2855283935396815;17.435533140546674;-20%
RF;0.7198442508113635;0.0038295795662146794;0.7115898929297555;0.004960841668916707;0.8471783706013711;0.003462545638974675;0.7734729060357615;0.002866146713113876;0.0110156279115754;0.0027977227954201;113.51418018341064;0.0324376401813655;0.0082384341676691;0.0434532680929409;0.0110361569630892;0.6577694344924984;-20%
XGBoost;0.7074452256742766;0.011416502555608285;0.6935025409247848;0.01900087167803004;0.8665315881192936;0.027336135827473892;0.7698431450714894;0.003707795438829466;0.0033733784360332002;0.0008567625762080429;34.8409206867218;0.0828992357170551;0.021054549350276702;0.0862726141530883;0.021911311926484746;1.3121003756124183;-20%
