modelo;acc_media;acc_desvio;prec_media;prec_desvio;rec_media;rec_desvio;f1_media;f1_desvio;emissions_g_total;energia_kwh_total;tempo_s_total;emissions_grid_total_g_soma;energia_grid_total_kwh_soma;emissoes_total_modelo;energia_total_modelo;ECAR;aumento
KNN;0.6866153899272037;0.004528868349127631;0.6909179004924699;0.005630556878086784;0.8051784529076814;0.005196801887108449;0.7436619382575079;0.0033627821941101285;0.0158320257271512;0.0040209799777269;134.9091923236847;0.1705322710635719;0.0433113777933671;0.1863642967907231;0.047332357771094;2.934158091188828;+30%
LR;0.6853969319331249;0.0050119536148288445;0.6857827179170342;0.005061167774868149;0.8172589048254112;0.004845693904941885;0.7457565050884313;0.0037229991529420174;0.0065665796440454;0.0016677641715533418;90.901526927948;0.0314672071436755;0.0079919659088677;0.0380337867877209;0.009659730080421041;0.5971299662409315;+30%
LightGBM;0.7079555855447751;0.008486748029744057;0.6970520406508183;0.01269567064707073;0.855243747003828;0.018563532903777345;0.7678223822457302;0.002248587362155409;0.0017539819580290582;0.00044547213705168546;17.337076663970947;0.0374333346743734;0.0095072286907085;0.039187316632402464;0.009952700827760185;0.5975594340162204;+30%
MLP;0.6967009511116573;0.004304104147884653;0.6992668300110043;0.010583143071744862;0.8134682911103701;0.032202909521023615;0.751557698983836;0.008602349377386175;0.131191477992874;0.0333196973873722;1159.3505437374115;1.3033024662453196;0.33100963907022407;1.4344939442381937;0.36432933645759624;22.347695238042416;+30%
RF;0.71040088991093;0.004457814961253298;0.7023539231215592;0.006107936742855619;0.8453551017439846;0.0030667423735146865;0.7672283926232253;0.0033109030484885444;0.0149880489672948;0.0038066287815164;128.22511982917786;0.0463468837837754;0.0117710705462664;0.0613349327510702;0.0155776993277828;0.9360080334819559;+30%
XGBoost;0.7041683352259374;0.008863983853055594;0.687400351517489;0.014378594695046331;0.8750656453151382;0.023241170203589356;0.7695874761380271;0.0027884673623526425;0.0044421134082488;0.0011281973249152772;47.827773094177246;0.1334299367873946;0.0338882157910721;0.1378720501956434;0.03501641311598738;2.097560959213814;+30%
